"Month","Year","Week_day","Type_day","Casualties","Num_vehicles","Lanes","Road_width","Lane_width","Hard_shoulder","Paved_hard_shoulder","Security_barriers","Aditional_panels","Edge_landmarks","Reflectors","Surface","Luminosity","Atmosferic_factors","Limited_visibility","Danger_signs","Crash_type","Traffic","Conc_distraction","Conc_alcohol_durgs","Conc_speed","Conc_tyred_sleepy_ill","Conc_weather"
"Apr",2006,3,"Work_day",2,2,2,"More_7m","325m_to_375m","None","N","N","N","Y","Y","Dry","Dusk","Clear","Y","Not_needed","Collision","Light","Y","N","N","N","N"
"Apr",2006,4,"Work_day",5,5,1,"More_7m","More_375m","150m_to_250m","Y","N","N","N","N","Wet","Daylight","Light_rain","Y","No","Collision","Jam","Y","N","Y","Y","N"
"Apr",2006,4,"Work_day",2,2,2,"6m_to_7m","325m_to_375m","None","N","N","N","Y","N","Wet","Daylight","Light_rain","Y","No","Collision","Light","N","N","N","N","Y"
"Apr",2006,6,"Pre_holiday",1,1,2,"6m_to_7m","325m_to_375m","None","N","N","N","N","Y","Dry","Daylight","Clear","Y","No","Other","Light","Y","N","Y","N","N"
"May",2006,1,"Holiday",1,1,2,"More_7m","325m_to_375m","Less_150m","Y","Y","Y","Y","Y","Dry","Daylight","Clear","Y","Yes","Other","Light","N","N","Y","N","N"
"May",2006,1,"Holiday",2,2,2,"6m_to_7m","325m_to_375m","None","N","Y","N","N","N","Dry","Daylight","Clear","Y","No","Collision","Heavy","N","N","N","N","N"
"May",2006,3,"Work_day",2,2,2,"6m_to_7m","Less_325m","None","Y","N","Y","Y","Y","Dry","Daylight","Clear","Y","Yes","Collision","Light","Y","N","Y","N","N"
"May",2006,6,"Pre_holiday",1,1,2,"More_7m","325m_to_375m","Less_150m","Y","Y","N","N","N","Wet","Daylight","Light_rain","Y","Yes","Off_the_road","Light","N","N","Y","N","N"
"May",2006,7,"Holiday",1,1,2,"More_7m","325m_to_375m","Less_150m","Y","Y","N","Y","N","Dry","Daylight",NA,"Y","Yes","Rollover","Light","Y","N","Y","N","N"
"May",2006,7,"Holiday",1,1,4,"More_7m","More_375m","Less_150m","Y","Y","N","N","Y","Dry","Dusk","Clear","Y","Yes","Other","Light","N","N","Y","N","N"
"May",2006,1,"Post_holiday",2,2,2,"6m_to_7m","325m_to_375m","None","N","Y","Y","Y","N","Dry","Daylight","Clear","Y","No","Collision","Jam","N","N","Y","N","N"
"May",2006,2,"Work_day",3,2,4,"More_7m","325m_to_375m","Less_150m","Y","Y","N","Y","Y","Dry","Daylight","Clear","Y","Not_needed","Collision","Heavy","Y","N","N","N","N"
